id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50647417,Condo in Hlavní město Praha · ★4.02 · Studio · 4 beds · 1 bath,272493131,Tony,,Praha 1,50.08945,14.42037,Entire home/apt,1557,1,183,2023-12-01,6.26,10,108,77,
50658382,Rental unit in Praha 4 · Studio · 1 bed · 1 bath,380471389,Jakub,,Praha 4,50.06384,14.44343,Entire home/apt,700,30,1,2021-12-19,0.04,20,57,0,
50669860,Condo in Praha 8 · ★4.92 · 1 bedroom · 2 beds · 1 bath,189153358,Stella,,Praha 8,50.122395,14.454661,Entire home/apt,3840,2,79,2023-12-17,3.10,1,139,38,
50687782,Hotel in Praha 5 · ★4.33 · 2 bedrooms · 3 beds · 1 private bath,409611809,M.,,Praha 5,50.072182,14.396812,Private room,3685,1,6,2022-09-04,0.25,7,193,0,
50688102,Hotel in Praha 5 · ★4.75 · 1 bedroom · 1 bed · 1 private bath,409611809,M.,,Praha 5,50.07318,14.39746,Private room,1927,1,12,2023-03-28,0.43,7,222,2,
50689263,Serviced apartment in Hlavní město Praha · ★4.87 · 1 bedroom · 1 bed · 1 bath,403695063,Zeitraum,,Praha 1,50.08475,14.43234,Entire home/apt,1251,1,62,2023-07-19,2.07,16,16,2,
50690421,Rental unit in Praha 3 · 1 bedroom · 3 beds · 1 bath,689050,Stepan,,Praha 3,50.07738,14.45728,Entire home/apt,,2,1,2021-07-29,0.03,1,0,0,
50701523,Condo in Hlavní město Praha · ★5.0 · 1 bedroom · 1 bed · 1 bath,1709277,Markéta,,Praha 2,50.07109,14.43085,Entire home/apt,1300,61,6,2023-11-20,0.22,1,320,3,
50715397,Serviced apartment in Hlavní město Praha · ★4.89 · 1 bedroom · 1 bed · 1 bath,39930262,Kateřina,,Praha 1,50.09036,14.42066,Entire home/apt,3188,3,9,2023-08-15,0.31,27,14,1,
50718085,Condo in Praha 7 · ★4.33 · 1 bedroom · 1 bed · 1 bath,409848175,Star Travel,,Praha 7,50.09952,14.43773,Entire home/apt,,3,9,2022-10-01,0.31,4,0,0,
50718889,Rental unit in Hlavní město Praha · ★4.83 · 1 bedroom · 3 beds · 1 bath,38632547,Alina,,Praha 1,50.07989,14.42197,Entire home/apt,2000,1,24,2022-08-23,0.80,5,0,0,
50725236,Condo in Hlavní město Praha · ★4.80 · Studio · 1 bed · 1 bath,246823842,Olinn,,Praha 8,50.09303,14.45456,Entire home/apt,1614,2,141,2023-12-16,4.72,31,0,59,
50735434,Condo in Praha 3 · ★4.90 · 1 bedroom · 2 beds · 1.5 baths,169646663,Alena,,Praha 3,50.08444,14.45139,Entire home/apt,1199,2,19,2023-12-04,2.42,3,0,19,
50761504,Condo in Hlavní město Praha · ★4.96 · 1 bedroom · 2 beds · 1 bath,410219165,Tina,,Praha 2,50.08004,14.43497,Entire home/apt,2486,2,134,2023-12-14,4.50,2,128,53,
50763581,Home in Hlavní město Praha · ★4.0 · 1 bedroom · 1 bed · 1.5 baths,7105654,Blažena,,Praha 10,50.06713,14.51801,Private room,,2,4,2023-07-30,0.49,3,0,4,
50764890,Rental unit in Praha · ★4.79 · Studio · 1 bed · 1 bath,112449824,Evgeny And Artyom,,Praha 3,50.07908,14.4483,Entire home/apt,1891,2,43,2023-12-15,1.45,10,350,31,
50783954,Aparthotel in Praha 1 · ★4.50 · 1 bedroom · 1 bed · 1 bath,410429580,Vn,,Praha 1,50.08476,14.42509,Entire home/apt,3450,2,14,2022-03-28,0.50,8,357,0,
50787452,Condo in Hlavní město Praha · ★4.25 · Studio · 1 bed · 1 bath,199610462,Jessica,,Praha 2,50.07743835449219,14.421624183654785,Entire home/apt,,2,8,2023-08-01,0.27,65,0,3,
50787592,Condo in Praha 6 · 2 bedrooms · 5 beds · 1 bath,14913710,Eva,,Praha 6,50.0842,14.37537,Entire home/apt,,2,1,2021-08-23,0.04,1,0,0,
50806695,Serviced apartment in Hlavní město Praha · ★4.68 · 1 bedroom · 1 bed · 1.5 baths,3736234,Prague Days,,Praha 8,50.09486,14.45309,Entire home/apt,3806,1,25,2023-08-01,0.90,62,1,11,
50818990,Rental unit in Hlavní město Praha · ★4.72 · 2 bedrooms · 4 beds · 1 bath,276641146,Lenka,,Praha 1,50.08531,14.4139,Entire home/apt,4556,3,58,2023-11-30,2.06,13,0,26,
50819093,Rental unit in Praha 8 · ★4.70 · 2 bedrooms · 2 beds · 1 bath,410819559,Andrej,,Praha 8,50.096992,14.465179,Entire home/apt,2057,1,99,2023-12-11,3.41,4,0,52,
50835605,Serviced apartment in Hlavní město Praha · ★4.84 · 1 bedroom · 1 bed · 1 bath,403695063,Zeitraum,,Praha 1,50.08591,14.43412,Entire home/apt,2820,1,44,2023-11-06,1.48,16,16,15,
50836375,Hotel in Praha 5 · ★4.82 · 1 bedroom · 3 beds · 1 private bath,409611809,M.,,Praha 5,50.072205,14.397059,Private room,1986,1,17,2023-07-11,0.63,7,221,2,
50837735,Hotel in Praha 5 · 1 bedroom · 3 beds · 1 private bath,409611809,M.,,Praha 5,50.072182,14.396951,Private room,2326,1,1,2022-08-31,0.06,7,221,0,
50838093,Hotel in Praha 5 · 1 bedroom · 4 beds · 1 private bath,409611809,M.,,Praha 5,50.07326,14.39656,Private room,2799,1,2,2023-02-19,0.08,7,215,1,
50838318,Hotel in Praha 5 · ★4.88 · 2 bedrooms · 4 beds · 1 private bath,409611809,M.,,Praha 5,50.07194,14.39809,Private room,3352,1,17,2023-12-03,0.61,7,217,3,
50839009,Serviced apartment in Hlavní město Praha · ★4.83 · 2 bedrooms · 2 beds · 1.5 baths,92781139,Prague Days,,Praha 8,50.09474,14.45263,Entire home/apt,4785,1,35,2023-11-26,1.56,30,219,29,
50839554,Hotel in Praha 5 · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,409611809,M.,,Praha 5,50.07265,14.39598,Private room,1492,1,4,2022-07-23,0.15,7,145,0,
50841024,Condo in Hlavní město Praha · ★4.71 · Studio · 1 bed · 1 bath,411010124,Natalie,,Praha 2,50.077965,14.43241,Entire home/apt,2430,3,84,2023-11-26,3.11,3,84,39,
50860474,Rental unit in Hlavní město Praha · ★4.06 · Studio · 1 bed · 2 baths,36271270,Niko,,Praha 1,50.08706,14.40034,Private room,921,1,178,2023-11-25,5.97,10,322,65,
50864854,Condo in Hlavní město Praha · ★4.11 · 1 bedroom · 2 beds · 1.5 baths,199610462,Jessica,,Praha 2,50.077335357666016,14.421709060668945,Entire home/apt,,2,19,2023-07-30,0.64,65,0,4,
50867883,Rental unit in Hlavní město Praha · ★4.17 · Studio · 1 bed · 2 baths,36271270,Niko,,Praha 1,50.08808,14.40012,Private room,979,1,173,2023-11-21,5.81,10,337,69,
50875326,Condo in Hlavní město Praha · ★4.86 · 1 bedroom · 1 bed · 1 bath,411340210,Karolína & Igor,,Praha 1,50.07999,14.41827,Entire home/apt,1829,1,168,2023-12-11,5.64,2,0,68,
50886330,Rental unit in Hlavní město Praha · ★4.18 · Studio · 2 beds · 2 shared baths,36271270,Niko,,Praha 1,50.08654,14.40042,Private room,1086,1,182,2023-11-28,6.15,10,333,76,
50886613,Condo in Hlavní město Praha · ★4.44 · 1 bedroom · 1 bed · 1.5 baths,411440658,Zuzana,,Praha 1,50.078812,14.426296,Entire home/apt,2833,2,41,2023-12-10,1.42,1,82,15,
50887304,Serviced apartment in Hlavní město Praha · ★4.92 · 1 bedroom · 1 bed · 1 bath,403695063,Zeitraum,,Praha 1,50.08411,14.43373,Entire home/apt,,1,25,2022-04-17,0.84,16,0,0,
50890754,Serviced apartment in Hlavní město Praha · ★4.85 · 1 bedroom · 2 beds · 1 bath,403695063,Zeitraum,,Praha 1,50.08597,14.43267,Entire home/apt,4778,1,20,2022-10-16,0.68,16,332,0,
50894745,Yurt in 4328486E · 1 bedroom · 1 bath,411515497,Tereza,,Praha 8,50.15117,14.43322,Entire home/apt,2762,2,0,,,1,311,0,
50910994,Condo in Praha 4 · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,54835078,Stanislava,,Praha 4,50.0589,14.42441,Entire home/apt,1614,2,66,2023-12-13,2.31,1,344,30,
50912715,Condo in Hlavní město Praha · ★4.27 · 1 bedroom · 1 bath,409848175,Star Travel,,Praha 2,50.07717,14.42378,Entire home/apt,,30,11,2022-07-24,0.37,4,0,0,
50913358,Rental unit in Hlavní město Praha · ★4.0 · 1 bedroom · 1 bed · 1 bath,409848175,Star Travel,,Praha 1,50.08007,14.42548,Entire home/apt,,2,3,2022-08-14,0.10,4,0,0,
50925756,Rental unit in Praha 7 · ★4.50 · 2 bedrooms · 2 beds · 2.5 baths,257779276,Oliver,,Praha 7,50.09795,14.42158,Entire home/apt,4876,1,8,2023-11-12,0.28,38,356,5,
50929379,Boutique hotel in Praha 5 · 1 bedroom · 1 bed · 1 private bath,408685195,Tatiana,,Praha 13,50.049557,14.327641,Private room,1812,1,1,2021-08-16,0.04,4,297,0,
50933720,Rental unit in Praha 8 · ★4.65 · Studio · 1 bed · 1 bath,410819559,Andrej,,Praha 8,50.096951,14.4652,Entire home/apt,1771,1,93,2023-12-02,3.17,4,21,49,
50934009,Boutique hotel in Praha 5 · ★4.85 · 1 bedroom · 1 bed · 1 private bath,408685195,Tatiana,,Praha 13,50.049557,14.327641,Private room,1944,1,60,2023-11-27,2.04,4,312,21,
50934389,Boutique hotel in Praha 5 · ★4.60 · 1 bedroom · 1 bed · 1 private bath,408685195,Tatiana,,Praha 13,50.049557,14.327641,Private room,2273,1,5,2022-07-25,0.17,4,300,0,
50934447,Condo in Hlavní město Praha · ★4.88 · Studio · 1 bed · 1 bath,411010124,Natalie,,Praha 2,50.077965,14.43241,Entire home/apt,2816,3,109,2023-11-27,3.75,3,73,33,
50935985,Boutique hotel in Praha 5 · ★4.90 · 1 bedroom · 2 beds · 1 private bath,408685195,Tatiana,,Praha 13,50.04956,14.32764,Private room,2933,1,10,2023-07-23,0.34,4,310,3,
50936148,Cave in Praha 6 · ★4.80 · 1 bedroom · 1.5 baths,64333563,Tomáš,,Praha 6,50.097595,14.365838,Entire home/apt,2186,1,64,2023-12-09,2.20,2,0,28,
50948212,Serviced apartment in Hlavní město Praha · ★4.88 · 1 bedroom · 2 beds · 1 bath,403695063,Zeitraum,,Praha 1,50.08409,14.43371,Entire home/apt,,1,24,2022-11-15,0.82,16,0,0,
50951190,Serviced apartment in Hlavní město Praha · ★4.92 · 1 bedroom · 1 bed · 1 bath,403695063,Zeitraum,,Praha 1,50.08568,14.43239,Entire home/apt,,1,12,2022-07-17,0.41,16,0,0,
50953041,Condo in Hlavní město Praha · ★5.0 · 1 bedroom · 1 bed · 1 bath,410847793,Lucie,,Praha 2,50.07909,14.44422,Entire home/apt,1200,3,7,2023-12-11,0.98,1,20,7,
50972812,Loft in Praha 6 · ★4.78 · 1 bedroom · 3 beds · 1.5 baths,91533378,Petr,,Praha 6,50.10261,14.36468,Entire home/apt,3559,3,9,2023-08-23,0.32,3,159,3,
50981590,Serviced apartment in Hlavní město Praha · ★4.27 · 2 bedrooms · 2 beds · 1 bath,65760645,Prague Days,,Praha 1,50.08078,14.40335,Entire home/apt,4582,1,30,2023-12-13,1.04,43,130,19,
50984912,Condo in Hlavní město Praha · 1 bedroom · 1 bed · 1 bath,409848175,Star Travel,,Praha 1,50.07755,14.42377,Entire home/apt,862,1,1,2022-06-25,0.06,4,0,0,
50985380,Rental unit in Hlavní město Praha · ★4.65 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.07526,14.43107,Entire home/apt,1871,2,133,2023-12-16,4.52,95,0,71,
50986247,Serviced apartment in Hlavní město Praha · ★4.84 · 1 bedroom · 1 bed · 1 bath,403695063,Zeitraum,,Praha 1,50.08436,14.43404,Entire home/apt,,1,31,2023-11-04,1.05,16,0,2,
50986936,Serviced apartment in Hlavní město Praha · ★4.75 · 1 bedroom · 2 beds · 1 bath,403695063,Zeitraum,,Praha 1,50.08419,14.43382,Entire home/apt,,1,8,2022-05-22,0.27,16,0,0,
